Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
47AHpjFDpE6seYfRgACQ2W,"Dreamscape","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,74750,45,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.508,0.119,2,-23.595,0,0.041,0.981,0.991,0.183,0.304,120.015,4
1NKOmXfWvpkYEbpAUbaO1A,"Ethera","Ethera: Celtic Fantasy Dreams Vol. 1","Somnia Arcadia",2023-11-11,127296,44,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.367,0.13,7,-18.512,0,0.0349,0.961,0.946,0.127,0.0563,129.869,3
3TbG2DC5jxaPlzL1BmO5wg,"Evenstar (from The Lord of the Rings The Two Towers)","The Lord of the Rings Reimagined","Celestial Aeon Project",2022-02-11,73668,40,1136646439,2024-09-08T16:27:29Z,"medieval,celta","Ouranio Recordings",0.158,0.158,4,-17.549,0,0.0399,0.98,0.776,0.117,0.0367,106.351,5
3oNmONaJrsOEfWVihj9vcR,"Arcane Spirit","Ethera: Celtic Fantasy Dreams Vol. 1","Somnia Arcadia",2023-11-11,87000,44,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.387,0.102,0,-23.582,1,0.0298,0.967,0.901,0.108,0.0479,74.856,4
73LneM2K3cUjnCd8pCj4PX,"Elven Nightfall","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,98076,44,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.562,0.0626,0,-27.594,0,0.0341,0.986,0.965,0.0932,0.0756,130.042,4
7lJRdRUeo7bipDPMxF7j4N,"Enchanted Oceans","Enchanted Lullabies","Stillness in Motion",2024-04-05,67471,41,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.455,0.0814,9,-26.605,0,0.0348,0.968,0.931,0.111,0.135,156.067,4
6T0BTmjmTvJb3tP2lprB3F,"Alchemy of Dreams","Enchanted Lullabies","Stillness in Motion",2024-04-05,67360,43,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.537,0.166,7,-23.45,1,0.0318,0.868,0.923,0.122,0.0875,78.039,3
4FehrhO6UJ2ltvhizWhltO,"Joy of the Trees","Voices of the Grove","Moonlynx",2024-09-15,126141,0,1136646439,2024-09-16T12:54:06Z,"","Everrealm Records",0.254,0.0965,2,-22.864,0,0.0367,0.969,0.971,0.121,0.0482,74.015,1
0UuN9va0c36eCjxEPKexVN,"Celtic Slumber","Ethera: Celtic Fantasy Dreams Vol. 1","Somnia Arcadia",2023-11-11,116442,44,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.437,0.101,2,-18.713,0,0.0323,0.983,0.923,0.0734,0.228,136.052,4
1g63TgtT5mZ7Xe9kce7mfz,"Elven Archives","Ethera: Celtic Fantasy Dreams Vol. 1","Somnia Arcadia",2023-11-11,120800,45,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.195,0.122,4,-20.857,0,0.0345,0.985,0.929,0.105,0.0572,73.209,3
